id,value, value2
professions,
professions.0,
professions.0.Directeurs d’entreprises de  télécommunications,11.7,22
professions.0.Gestionnaires des systèmes  informatiques,80.5,22
professions.2,
professions.2.1,
professions.2.1.Ingénieurs  électriciens et  électroniciens,33.8,22
professions.2.1.Ingénieurs  informaticiens,28.6,22
professions.2.1.Analystes et consultants en  informatique,224.3,22
professions.2.1.Analystes de  bases de données  et administrateurs  de données, 38,22
professions.2.1.Ingénieurs et concepteurs  en logiciel,52,22
professions.2.1.Programmeurs et développeurs  en médias interactifs,160.1,22
professions.2.1.Concepteurs et  développeurs Web, 31.9,22
professions.2.2,
professions.2.2.Technologues et  techniciens en génie  électronique et  électrique, 37.7,22
professions.2.2.Techniciens de réseau  informatique,50.2,22
professions.2.2.Agents de soutien aux  utilisateurs,90.4,22
professions.2.2.Évaluateurs de  systèmes informatiques, 12.7,22
professions.5,
professions.5.Auteurs  rédacteurs  et écrivains,26.4,22
professions.5.Techniciens en  graphisme,10.6,22
professions.5.Designers graphiques et  illustrateurs, 69.9,22
professions.7,
professions.7.Entrepreneurs et  contremaîtres en  électricité et en  télécommunications, 31,22
professions.7.Monteurs de lignes  et de câbles de  télécommunications,9.7,22
professions.7.Installateurs et réparateurs de matériel de  télécommunications,20.1,22
professions.7.Techniciens en montage et en entretien  d’installations de câblodistribution, 3.6,22
professions.9,
professions.9.Surveillants dans la fabrication  de 	matériel électronique, 4.,22
professions.9.Assembleurs  et vérificateurs de  matériel  électronique,18.3,22
	